time,open,high,low,close,EMA5,EMA10,EMA60,EMA120,UB2.00,BBandMA20,LB2.00,trust,dealer,foreign,"K(9,3)","D(9,3)",J,DIF12-26,MACD9,OSC,volume,MA5,MA10,financing,financing_difference,tomorrow,percentage
2019/11/27,11590.81,11651.73,11590.81,11647.46,11593.82,11572.43,11229.29,10996.18,11720.93,11549.41,11377.88,-3155,-1638,41217,0.7501,0.6889,0.8724,100.77,114.78,-14.01,1099.27,1313.52,1272.68,1401,2.25,11617.08,0.006101848
2019/11/28,11641.7,11654.06,11604.68,11617.08,11605.68,11582.78,11242.4,11006.64,11711.98,11562.32,11412.67,-3157,-1651,41231,0.7597,0.7125,0.8542,98.09,111.44,-13.35,1062.71,1282.31,1246.73,1407,5.9,11489.57,-0.002608294
2019/11/29,11616.88,11623.59,11485.16,11489.57,11588.38,11577.51,11252.61,11015.69,11701.26,11566.83,11432.39,-3161,-1684,41105,0.5274,0.6508,0.2805,86.8,106.51,-19.72,1214.32,1306.26,1236.22,1411,3.78,11502.83,-0.01097608
2019/12/2,11509.94,11524.85,11454.38,11502.83,11558.26,11563.06,11260.66,11023.66,11701.4,11564.12,11426.85,-3164,-1705,41140,0.4325,0.578,0.1413,74.91,100.19,-25.29,1148.82,1308.96,1241.24,1407,-3.96,11531.58,0.00115409
2019/12/3,11473.32,11531.58,11460.06,11531.58,11538.55,11551.44,11268.48,11031.52,11691.36,11558.5,11425.64,-3162,-1687,41186,0.4172,0.5244,0.2027,66.13,93.38,-27.25,1097.8,1124.59,1227.4,1410,3.29,11510.47,0.002499385
2019/12/4,11511.82,11513.83,11457.43,11510.47,11525.16,11541.79,11276.02,11039.24,11678.34,11551.37,11424.4,-3158,-1689,41159,0.3718,0.4735,0.1682,57.25,86.15,-28.9,1094.93,1123.72,1218.62,1411,1.15,11594.65,-0.001830625
2019/12/5,11546.75,11604.39,11546.75,11594.65,11541.15,11547.49,11285.76,11048.06,11676.82,11550.78,11424.74,-3153,-1669,41221,0.482,0.4763,0.4933,56.59,80.24,-23.65,1251.31,1161.44,1221.87,1410,-9858,11609.64,0.007313342
2019/12/6,11639.8,11657.65,11577.83,11609.64,11567.85,11560.9,11296.76,11057.53,11680.36,11552.28,11424.2,-3153,-1662,41260,0.5759,0.5095,0.7087,57.7,75.73,-18.03,1125.74,1143.72,1224.99,1413,3.08,11660.77,0.001292838
2019/12/9,11635.47,11678.36,11631.03,11660.77,11595.7,11577.35,11308.38,11067.35,11686.79,11563.96,11441.12,-3155,-1641,41302,0.6911,0.5701,0.9332,61.43,72.87,-11.44,1237.87,1161.53,1235.25,1409,-3.89,11627.84,0.004404099
2019/12/10,11647.78,11649.73,11607.26,11627.84,11608.18,11587.5,11319.03,11076.7,11693.46,11569.33,11445.2,-3157,-1638,41274,0.7189,0.6197,0.9173,61.3,70.56,-9.26,1054.88,1152.95,1138.77,1410,2271,11700.77,-0.002823999
2019/12/11,11635.07,11700.77,11622.58,11700.77,11627.06,11601.55,11330.37,11086.42,11708.5,11580.98,11453.46,-3152,-1634,41315,0.8126,0.684,1.0698,64.73,69.39,-4.67,1289.94,1191.95,1157.83,1410,-564,11836.42,0.006272016
2019/12/12,11766.98,11875.98,11766.98,11836.42,11688.57,11639.74,11346.15,11098.41,11756.52,11600.28,11444.03,-3155,-1632,41409,0.8438,0.7372,1.0569,78.46,71.21,7.25,1544.07,1250.5,1205.97,1411,1.65,11927.73,0.011593254
2019/12/13,11937.9,11990.78,11913.02,11927.73,11773.16,11694.76,11365.69,11112.36,11828.05,11620.38,11412.72,-3155,-1633,41569,0.8565,0.777,1.0154,97.17,76.4,20.77,1731.86,1371.73,1257.72,1414,3.23,11939.77,0.007714326
