time,open,high,low,close,EMA5,EMA10,EMA60,EMA120,UB2.00,BBandMA20,LB2.00,trust_buy,trust,keyman,foreign_buy,foreign,dealer_buy,dealer,volumn,MA5,MA10,financing,financing_error,tomorrow,percentage
2016/10/6,9263.4,9284.31,9242.83,9284.31,9251.13,9223.54,9044.3,8876.32,9409.8,9174.31,8938.83,-2,-2990,15776,-17,42231,2,-1221,633.31,632.96,673.09,1345,10,9265.81,0.001297416
2016/10/7,9289.66,9289.95,9249.06,9265.81,9258.62,9232.65,9051.82,8882.89,9417.35,9178.51,8939.67,2,-2988,15758,-17,42214,-3,-1224,632.36,610.23,662.21,1345,0,9219.82,-0.001992609
2016/10/11,9311.79,9327.71,9167.72,9219.82,9258,9237.03,9058.54,8889.07,9413.35,9176.55,8939.75,-2,-2990,15786,24,42238,-7,-1231,896.91,678.42,680.47,1330,-15,9252.6,-0.004963408
2016/10/12,9201.55,9258.69,9166.58,9252.6,9245.29,9233.91,9063.83,8894.54,9412.12,9176.03,8939.94,-2,-2992,15799,14,42252,2,-1229,663.05,687,681.41,1327,-3,9219.17,0.003555384
2016/10/13,9268.22,9285.05,9187.78,9219.17,9243.54,9235.03,9069.6,8900.25,9415.51,9178.75,8941.99,0,-2992,15763,-65,42187,-1,-1230,752.18,715.56,700.9,1328,1,9165.17,-0.003613038
2016/10/14,9198.26,9216.63,9149.87,9165.17,9223.19,9225.47,9073.3,8904.91,9414.19,9184.32,8954.45,-3,-2995,15771,-30,42157,-5,-1235,679.85,724.87,678.91,1311,-17,9176.22,-0.00585736
2016/10/17,9150.67,9182.67,9074.99,9176.22,9197.51,9211.05,9075.69,8908.9,9398.44,9195.78,8993.12,-2,-2997,15768,-7,42150,9,-1226,615.47,721.49,665.86,1306,-5,9222.58,0.001205651
2016/10/18,9175.07,9222.58,9157.4,9222.58,9196.47,9208.02,9079.58,8913.62,9375.46,9209.87,9044.28,0,-2997,15795,27,42177,5,-1221,641.38,670.39,674.4,1307,1,9283.99,0.005052189
2016/10/19,9227.98,9298.87,9226.46,9283.99,9217.42,9217.35,9085.48,8919.34,9319.19,9228.95,9138.72,5,-2992,15853,60,42237,3,-1218,738.89,685.56,686.28,1304,-3,9317.24,0.006658657
2016/10/20,9288.49,9331.89,9279.15,9317.24,9246.35,9233.14,9092.65,8925.7,9328.13,9237.17,9146.21,8,-2984,15877,28,42265,0,-1218,653.12,665.74,690.65,1307,3,9306.57,0.003581434
2016/10/21,9322.55,9348.09,9292.53,9306.57,9270.04,9248.47,9100.02,8932.17,9333.21,9244.42,9155.63,3,-2981,15882,-10,42255,-3,-1221,760.07,681.79,703.33,1309,2,9322.5,-0.001145189
2016/10/24,9333.94,9343.57,9308.53,9322.5,9289.07,9262.77,9107.47,8938.7,9343.8,9249.12,9154.44,3,-2978,15913,-5,42250,18,-1203,578.57,674.41,697.95,1303,-6,9385.65,0.001711694
2016/10/25,9338.09,9399.97,9334.8,9385.65,9314.26,9281.29,9115.9,8945.74,9368.12,9256.64,9145.16,3,-2975,15951,26,42276,4,-1199,657.26,677.58,673.99,1305,2,9362.25,0.006773934
2016/10/26,9355.66,9372.74,9338.84,9362.25,9328.63,9295.12,9123.81,8952.54,9380.69,9260.52,9140.35,1,-2974,15942,-23,42253,-1,-1200,613.44,652.49,669.02,1306,1,9299.55,-0.002493168
