time,open,high,low,close,EMA5,EMA10,EMA60,EMA120,UB2.00,BBandMA20,LB2.00,trust_buy,trust,keyman,foreign_buy,foreign,dealer_buy,dealer,volumn,MA5,MA10,financing,financing_error
2019/9/17,10908.85,10912.23,10866.43,10874.5,10834.42,10769.13,10648.01,10597.6,10960.06,10635.3,10310.53,1.29货,-3185货,15282货,53.3货,39022货,-15.8货,-1364货,1175.47,1198.54,1214.64,1322货,2.50货
2019/9/18,10887.42,10971.54,10878.34,10929.45,10861.84,10795.96,10656.82,10602.88,11000,10655.65,10311.29,-6665窾,-3186货,15390货,179货,39201货,-45.5货,-1410货,1304.65,1216.8,1239.53,1316货,-6.65货
2019/9/19,10947.62,10954.18,10874.66,10894.7,10880.49,10818.11,10665.38,10608.08,11028.03,10674.09,10320.15,2.32货,-3184货,15388货,10.6货,39212货,-13.5货,-1423货,1146.71,1206.26,1247.11,1316货,1820窾
2019/9/20,10908.1,10931.76,10903.45,10929.69,10893.08,10836.31,10673.67,10613.21,11058.2,10694.09,10329.98,7.94货,-3176货,15441货,48.7货,39261货,-2.25货,-1425货,1479.8,1260.48,1240.43,1321货,5.29货
2019/9/23,10924.81,10948.19,10905.92,10919.02,10903.55,10852.35,10681.89,10618.36,11082.43,10713.13,10343.84,-2.37货,-3178货,15425货,15.5货,39276货,-18.9货,-1444货,1068.41,1235.01,1215.96,1331货,10.0货
2019/9/24,10917.44,10947.53,10886.62,10918.01,10908.17,10864.17,10689.61,10623.3,11081.72,10741.3,10400.88,-9.08货,-3187货,15410货,21.7货,39298货,2.04货,-1442货,1097.08,1219.33,1208.94,1332货,9898窾
2019/9/25,10885.67,10885.67,10825.85,10873.69,10894.68,10864.82,10695.45,10627.34,11068.86,10765.63,10462.39,-4165窾,-3187货,15335货,-31.2货,39267货,-22.7货,-1465货,1062.59,1170.92,1193.86,1330货,-2.50货
2019/9/26,10909.57,10934.91,10856.96,10871.99,10894.24,10870.01,10701.94,10631.74,11052.73,10787.51,10522.29,3.63货,-3184货,15310货,-10.3货,39256货,-13.8货,-1479货,1160.19,1173.61,1189.94,1334货,4.49货
2019/9/27,10904,10921.17,10827.61,10829.68,10886.37,10870.12,10707.47,10635.68,11025.45,10805.87,10586.3,-6.43货,-3190货,15278货,22.4货,39279货,-29.6货,-1508货,1247.72,1127.2,1193.84,1332货,-2.21货
2019/10/1,10855.6,10967.65,10855.6,10967.65,10894.79,10877.66,10714.17,10640.25,11035.88,10823.35,10610.82,1.19货,-3189货,15315货,140货,39418货,-14.9货,-1523货,1498.49,1213.21,1224.11,1332货,3908窾
2019/10/2,10945.92,10965.2,10927.39,10947.88,10912.06,10890.2,10721.79,10645.31,11039.46,10839.01,10638.55,7.39货,-3182货,15295货,13.5货,39432货,-17.1货,-1540货,1169.51,1227.7,1223.51,1343货,10.4货
2019/10/3,10866.5,10888.4,10809.28,10875.91,10894.71,10884.71,10726.32,10648.86,11008.77,10854.89,10701.01,4359窾,-3181货,15169货,-87.4货,39344货,-24.2货,-1564货,1217.16,1258.61,1214.77,1357货,14.7货
2019/10/4,10907.69,10941.49,10854.12,10894.48,10896.29,10887.39,10732,10653,10991.73,10866.75,10741.76,3.79货,-3177货,15110货,-9.28货,39335货,-23.0货,-1587货,1235.65,1273.7,1223.66,1370货,12.9货
2019/10/7,10932.24,10954.45,10919.43,10935.06,10909.29,10896.1,10738.66,10657.67,10993.23,10875.66,10758.08,6.86货,-3171货,15117货,25.5货,39360货,-9.88货,-1597货,1143.85,1252.93,1190.07,1371货,1.28货
2019/10/8,10986.01,11020.51,10986.01,11017.31,10940.35,10915.44,10747.31,10663.36,11011.88,10887.49,10763.1,-2.13货,-3173货,15185货,101货,39462货,-4.78货,-1602货,1310.2,1215.27,1214.24,1364货,-7.38货
2019/10/9,10976.93,10989.39,10889.96,10889.96,10939.09,10919.28,10753.52,10667.88,11009.84,10891.93,10774.02,-9.94货,-3183货,15065货,-72.0货,39390货,-40.8货,-1643货,1304.65,1242.3,1235,1371货,6.84货
2019/10/14,11004.74,11085.49,11004.74,11066.95,10972.88,10941.32,10762.92,10674.04,11030.97,10907.6,10784.23,5.83货,-3177货,15210货,152货,39542货,40.9货,-1602货,1627,1324.27,1291.44,1362货,-8.79货
2019/10/15,11103.5,11126.45,11091.29,11111.8,11018.01,10971.67,10774.25,10681.22,11064.3,10923.67,10783.04,2.84货,-3174货,15216货,49.3货,39591货,-11.8货,-1614货,1376.04,1352.35,1313.03,1371货,8.67货
2019/10/16,11166.17,11180.11,11113.18,11162.83,11063.86,11005.11,10786.75,10689.06,11108.5,10940.43,10772.37,1.14货,-3173货,15237货,92.6货,39684货,-33.5货,-1647货,1480.47,1419.67,1336.3,1378货,6.83货
2019/10/17,11156.14,11186.88,11131.45,11186.88,11097.69,11034.24,10799.16,10696.93,11152.86,10954.87,10756.88,1.52货,-3171货,15264货,92.2货,39776货,6.69货,-1641货,1236.97,1405.03,1310.15,1387货,9.14货
2019/10/18,11190.21,11237.38,11154.86,11180.22,11128.68,11062.68,10812,10705.09,11187.25,10970.16,10753.06,1.18货,-3170货,15275货,61.2货,39837货,1.42货,-1639货,1463.73,1436.84,1339.57,1391货,4.38货
2019/10/21,11166.24,11188.13,11147.86,11184.15,11142.99,11082.48,10823.79,10712.8,11218.07,10982.89,10747.72,3985窾,-3170货,15265货,47.3货,39885货,3.22货,-1636货,1032.08,1317.86,1321.06,1401货,9.64货
2019/10/22,11221.19,11271.25,11218.25,11271.25,11177.15,11112.12,10837.61,10721.61,11264.33,11001.72,10739.11,-4.21货,-3174货,15339货,138货,40023货,-3.55货,-1640货,1274.42,1297.53,1324.94,1406货,4.88货
2019/10/23,11266.18,11281.12,11209.1,11239.67,11201.11,11137.01,10851.1,10730.32,11297.02,11017.22,10737.42,2.94货,-3171货,15361货,49.5货,40072货,-19.6货,-1659货,1408.28,1283.1,1351.38,1405货,-4142窾
2019/10/24,11266.84,11320.14,11254.59,11320.14,11230.88,11164.9,10865.51,10739.58,11342.41,11037.28,10732.15,1.82货,-3169货,15460货,148货,40220货,14.0货,-1645货,1433.41,1322.38,1363.71,1407货,2.03货
2019/10/25,11336.64,11347.18,11281.37,11296.12,11259.03,11192.25,10880.26,10749.1,11375.92,11056.18,10736.45,-9538窾,-3170货,15464货,33.0货,40253货,2.64货,-1643货,1304.42,1290.52,1363.68,1407货,-2949窾
